index,l1,l2,l3,l4,l5,l6
85,0.26451153,0.22745568,0.59652674,0.17326036,0.40767327,0.51534575
86,0.23565003,0.2258402,0.7287528,0.13586292,0.5272204,0.5857016
87,0.24898219,0.21512297,0.56618303,0.17837636,0.40165216,0.5064771
88,0.24408033,0.23925981,0.63218486,0.17905693,0.467934,0.60821843
89,0.26360053,0.2325693,0.6121619,0.1692606,0.41655904,0.5315802
90,0.26216793,0.24867944,0.67467624,0.17351615,0.5128827,0.6447866
91,0.26380146,0.23497553,0.61508375,0.18118706,0.43476734,0.5696464
92,0.2287184,0.22508165,0.7062132,0.13686587,0.5435401,0.6182809
93,0.24791187,0.23368362,0.5920419,0.17661427,0.4088606,0.5470231
94,0.24727564,0.23304702,0.60314304,0.16942991,0.4096314,0.55216783
95,0.26088732,0.22775559,0.61013865,0.17152916,0.42430216,0.5181332
96,0.2719659,0.23843844,0.5903327,0.1992249,0.4329647,0.5711331
97,0.26530302,0.2463325,0.73644733,0.1380912,0.44258994,0.5574198
98,0.24388455,0.2365677,0.6220209,0.17676575,0.447545,0.596452
99,0.25626552,0.21583867,0.55750024,0.1933704,0.41097587,0.5299108
100,0.22259307,0.21796605,0.72337073,0.1334464,0.5341437,0.58601564
101,0.2694882,0.24112888,0.6855095,0.15041788,0.4236652,0.5522244
102,0.24513912,0.23842737,0.69284844,0.13201717,0.5129826,0.591784
103,0.21583587,0.21490858,0.71144545,0.13286145,0.5423805,0.5801801
104,0.28044888,0.24016905,0.5947605,0.20479396,0.44541675,0.58445007
105,0.25991374,0.25099206,0.656408,0.18693197,0.53773856,0.68355095
106,0.25956365,0.21908116,0.5569304,0.19599837,0.4180026,0.5379535
107,0.23711912,0.23090573,0.72663087,0.12558313,0.5422653,0.5976427
108,0.23694907,0.23193006,0.7652217,0.12811741,0.52307427,0.5961746
109,0.26841128,0.23062353,0.6126369,0.17599513,0.42926884,0.52652323
110,0.24914233,0.23307788,0.6028469,0.17727777,0.43373823,0.58196056
111,0.25397724,0.22166471,0.57141066,0.19624785,0.4254229,0.5447326
112,0.25223053,0.2432586,0.763401,0.13310555,0.49379504,0.58293766
113,0.24372184,0.23187757,0.60519433,0.16105329,0.41464338,0.55317605
114,0.26113608,0.22874647,0.5926659,0.1851212,0.41908512,0.5270919
115,0.23060417,0.2378945,0.64567137,0.16258681,0.5067471,0.6072641
116,0.27190232,0.23798174,0.6234739,0.19154932,0.4437956,0.575435
117,0.272568,0.23705256,0.6231925,0.17712404,0.44701707,0.5642499
118,0.2405124,0.24528523,0.6407375,0.1696751,0.4846854,0.6109107
119,0.27469388,0.25462624,0.64718515,0.20511307,0.5071803,0.6757967
120,0.27844247,0.2460521,0.6148827,0.20920774,0.4682575,0.62479985
121,0.2570422,0.21547908,0.5597917,0.18633857,0.40487826,0.51787686
122,0.26723403,0.23302422,0.6134514,0.17883064,0.4212497,0.5376434
123,0.2501667,0.2386561,0.61132216,0.19602537,0.4815858,0.6222366
124,0.2765618,0.24094084,0.6262522,0.17522418,0.4377911,0.5552649
125,0.25206167,0.23442793,0.59908915,0.17527278,0.422502,0.56521434
126,0.2554456,0.22160348,0.5945163,0.17591685,0.41709477,0.51355517
127,0.24244803,0.23701933,0.6369272,0.16930932,0.53450024,0.6447226
