,region_abbr,is_cortex,lobe,Cortical region (Level 1),Cortical region (Level 2),Full name
107,12r,cortex_ST,Frontal,12,12r,ventro-lateral prefrontal area
108,PrCO,cortex_ST,Frontal,PrCO,PrCO,precentral opercular area
109,PEci,cortex_ST,Parietal,PEci,PEci,superior parietal lobule area (cingulate sulcus)
110,TGdg,cortex_ST,Temporal,POLE,TGdg,granular part of the dorsal temporal pole
111,AIP,cortex_ST,Parietal,AIP,AIP,anterior intraparietal area
112,36p,cortex_ST,Temporal,PERIRHINAL,36,"area 36 of the perirhinal cortex, temporal-polar subregion"
113,LOP,cortex_ST,Parietal,LOP,LOP,lateral occipital parietal area
114,11m,cortex_ST,Frontal,11,11m,orbital prefrontal area
115,RTp,cortex_ST,Temporal,POLE,RTp,"rostrotemporal (""p"" refers to polar)"
116,AONl,true,Frontal,,,
117,25,cortex_ST,Frontal,25,25,medial prefrontal area (subgenual cortex)
119,Iapm,cortex_ST,Frontal,Agranular insula,Iapm,posteromedial agranular insula area
120,RT,cortex_ST,Temporal,CORE,CORE,"rostrotemporal, core region of the auditory cortex"
121,7a_(Opt/PG),cortex_ST,Parietal,7A,7A,caudal inferior parietal lobule area (or 7a)
122,TEpv,cortex_ST,Temporal,TE,TEpv,ventral subregion of posterior TE
123,V3A,cortex_ST,Occipital,V3A,V3A,visual area V3A
124,45a,cortex_ST,Frontal,45a,45a,ventro-lateral prefrontal area
125,TEO,cortex_ST,Temporal,TEO,TEO,area TEO
126,F7,cortex_ST,Frontal,F2/F7,F7,agranular frontal area F7 (or 6DR)
127,46d,cortex_ST,Frontal,46,46d,dorso-lateral prefrontal area in the dorsal bank and lip of the principal sulcus (ps)
128,Iai,cortex_ST,Frontal,Agranular insula,Iai,intermediate agranular insula area
129,F5_(6Va/6Vb),cortex_ST,Frontal,F4/F5,F5,agranular frontal area F5 (or 6Va/6Vb)
130,LIPd,cortex_ST,Parietal,LIP,LIPd,"lateral intraparietal area, dorsal subdivision"
131,V2,cortex_ST,Occipital,V2,V2,visual area 2
132,36r,cortex_ST,Temporal,PERIRHINAL,36,"area 36 of the perirhinal cortex, rostral subregion"
133,12l,cortex_ST,Frontal,12,12l,ventro-lateral prefrontal area
134,5_(PEa),cortex_ST,Parietal,5,PEa,superior parietal lobule area (or 5)
135,TGsts,cortex_ST,Temporal,POLE,TGsts,sts part of the temporal pole
136,RTM,cortex_ST,Temporal,BELT,MB,"medial rostrotemporal, belt region of the auditory cortex"
137,3a/b,cortex_ST,Parietal,3a/b,3a/b,somatosensory areas 3a and 3b
140,TGa,cortex_ST,Temporal,POLE,TGa,agranular part of the temporal pole
141,V6Ad,cortex_ST,Parietal,V6A,V6Ad,"visual ar ea 6A, dorsal division"
142,TF,cortex_ST,Temporal,PARAHIPPOCAMPAL,TF,area TF of the parahippocampal cortex
