Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio,lobe,info
233,7262069,lh__entorhinal__14,Left,-28,-12,-31,lh_entorhinal,1,Fusiform_L,0.567010309,"Parahippocampal Gyrus, anterior division_Left",0.850515464,Left_PHG,0.536082474,L_A35/36r,0.840206186,L_PeEc_ROI,0.958762887,7Networks_LH_Limbic_TempPole_1,0.93814433,7Networks_LH_Limbic_TempPole_3,0.948453608,Left Limbic,0.974226804,Left Limbic A,0.974226804,Temporal,
234,15265226,lh__entorhinal__15,Left,-23,2,-37,lh_entorhinal,1,Temporal_Pole_Mid_L,0.60326087,Temporal Pole_Left,0.538043478,Left_Ent,0.641304348,L_TI,0.673913043,L_PeEc_ROI,0.864130435,7Networks_LH_Limbic_TempPole_1,0.505434783,7Networks_LH_Limbic_TempPole_2,0.97826087,Left Limbic,0.97826087,Left Limbic A,0.97826087,Temporal,
235,8802843,lh__entorhinal__16,Left,-28,-7,-32,lh_entorhinal,1,Fusiform_L,0.536312849,"Parahippocampal Gyrus, anterior division_Left",0.854748603,Left_PHG,0.418994413,L_A35/36r,0.916201117,L_PeEc_ROI,1.0,7Networks_LH_Limbic_TempPole_1,0.893854749,7Networks_LH_Limbic_TempPole_3,0.893854749,Left Limbic,0.893854749,Left Limbic A,0.893854749,Temporal,
236,14978306,lh__entorhinal__17,Left,-19,-6,-32,lh_entorhinal,1,Fusiform_L,0.054621849,"Parahippocampal Gyrus, anterior division_Left",0.995798319,Left_Ent,0.5,L_A28/34,0.567226891,L_EC_ROI,0.798319328,7Networks_LH_Limbic_TempPole_1,0.844537815,7Networks_LH_Limbic_TempPole_3,0.844537815,Left Limbic,0.827731092,Left Limbic A,0.827731092,unspecified,"Temporal    0.689
Name: 236, dtype: float64"
237,15889495,lh__entorhinal__18,Left,-19,-8,-31,lh_entorhinal,1,Fusiform_L,0.049469965,"Parahippocampal Gyrus, anterior division_Left",0.985865724,Left_PHG,0.795053004,L_A28/34,0.530035336,L_EC_ROI,0.787985866,7Networks_LH_Limbic_TempPole_1,0.869257951,7Networks_LH_Limbic_TempPole_3,0.869257951,Left Limbic,0.869257951,Left Limbic A,0.869257951,unspecified,"Temporal    0.671
Name: 237, dtype: float64"
238,116737,lh__fusiform__1,Left,-26,-54,-15,lh_fusiform,1,Fusiform_L,0.78125,Temporal Occipital Fusiform Cortex_Left,1.0,Left_FuG,0.794642857,L_A37mv,0.946428571,L_VVC_ROI,0.946428571,7Networks_LH_Vis_1,0.696428571,7Networks_LH_Vis_3,0.4375,Left Visual,1.0,Left Visual Central (Visual A),1.0,Temporal,
239,1317691,lh__fusiform__2,Left,-39,-29,-25,lh_fusiform,1,Temporal_Inf_L,0.526946108,"Temporal Fusiform Cortex, posterior division_Left",1.0,Left_FuG,0.880239521,L_A37lv,0.74251497,L_TF_ROI,0.892215569,7Networks_LH_Limbic_TempPole_2,0.54491018,7Networks_LH_Limbic_TempPole_5,0.676646707,Left Limbic,0.964071856,Left Limbic A,0.952095808,Temporal,
240,8833235,lh__fusiform__3,Left,-29,5,-45,lh_fusiform,1,Fusiform_L,0.342629482,Temporal Pole_Left,0.896414343,Left_TMP,0.824701195,L_A20rv,0.896414343,L_TGv_ROI,1.0,7Networks_LH_Limbic_TempPole_1,0.864541833,7Networks_LH_Limbic_TempPole_2,0.876494024,Left Limbic,1.0,Left Limbic A,1.0,Temporal,
241,4063774,lh__fusiform__4,Left,-45,-62,-16,lh_fusiform,1,Fusiform_L,0.537366548,"Inferior Temporal Gyrus, temporooccipital part_Left",0.501779359,Left_ITG,0.498220641,L_A37lv,0.989323843,L_FFC_ROI,0.608540925,7Networks_LH_Vis_3,0.565836299,7Networks_LH_DorsAttn_Post_2,0.911032028,Left Dorsal Attention,0.850533808,Left Dorsal Attention A,0.971530249,Temporal,
242,5670813,lh__fusiform__5,Left,-36,-18,-29,lh_fusiform,1,Fusiform_L,0.786956522,"Temporal Fusiform Cortex, posterior division_Left",0.791304348,Left_FuG,0.786956522,L_A20rv,0.782608696,L_PeEc_ROI,0.808695652,7Networks_LH_Limbic_TempPole_2,0.939130435,7Networks_LH_Limbic_TempPole_5,0.882608696,Left Limbic,0.986956522,Left Limbic A,0.986956522,Temporal,
243,6052084,lh__fusiform__6,Left,-41,-52,-20,lh_fusiform,1,Fusiform_L,0.927083333,Temporal Occipital Fusiform Cortex_Left,0.923611111,Left_FuG,0.923611111,L_A37lv,0.861111111,L_FFC_ROI,1.0,7Networks_LH_DorsAttn_Post_1,1.0,7Networks_LH_DorsAttn_Post_1,0.503472222,Left Dorsal Attention,0.635416667,Left Dorsal Attention A,0.708333333,Temporal,
