label,labbr,annotation,Region No.,Cortical lobe,lobe,Cortical region (Level 1),Cortical region (Level 2),Full name
410,36p,"area 36 of the perirhinal cortex, temporal-polar subregion",39.0,temporal,"Temporal Lobe
",PERIRHINAL,36,"area 36 of the perirhinal cortex, temporal-polar subregion"
411,LOP,lateral occipital parietal area,19.0,parietal,Parietal Lobe,LOP,LOP,lateral occipital parietal area
412,11m,orbital prefrontal area,131.0,prefrontal,Frontal Lobe,11,11m,orbital prefrontal area
413,RTp,rostrotemporal (p refers to polar),64.0,temporal,"Temporal Lobe
",POLE,RTp,"rostrotemporal (""p"" refers to polar)"
414,AONl,"anterior olfactory nucleus, lateral division ",,,,,,
415,25,medial prefrontal area (subgenual cortex),134.0,prefrontal,Frontal Lobe,25,25,medial prefrontal area (subgenual cortex)
416,Pir,piriform cortex,143.0,PIRIFORM,PIRIFORM,PIRIFORM,Pir,piriform cortex
417,Iapm,posteromedial agranular insula area,127.0,prefrontal,Frontal Lobe,Agranular insula,Iapm,posteromedial agranular insula area
418,RT,"rostrotemporal, core region of the auditory cortex",65.0,auditory,"Temporal Lobe
",CORE,CORE,"rostrotemporal, core region of the auditory cortex"
419,7a_(Opt/PG),caudal inferior parietal lobule area (or Opt / PG),11.0,parietal,Parietal Lobe,7A,Opt/PG,caudal inferior parietal lobule area (or 7a)
420,TEpv,ventral subregion of posterior TE,45.0,temporal,"Temporal Lobe
",TE,TEpv,ventral subregion of posterior TE
421,V3A,visual area V3A,5.0,occipital,Occipital Lobe,V3A,V3A,visual area V3A
422,45a,ventro-lateral prefrontal area,123.0,prefrontal,Frontal Lobe,45a,45a,ventro-lateral prefrontal area
423,TEO,area TEO,37.0,temporal,"Temporal Lobe
",TEO,TEO,area TEO
424,F7,agranular frontal area F7 (or 6DR),104.0,frontal,Sensorimotor Cortex,F2/F7,F7,agranular frontal area F7 (or 6DR)
425,46d,dorso-lateral prefrontal area in the dorsal bank and lip of the principal sulcus (ps),115.0,prefrontal,Frontal Lobe,46,46d,dorso-lateral prefrontal area in the dorsal bank and lip of the principal sulcus (ps)
426,Iai,intermediate agranular insula area,125.0,prefrontal,Frontal Lobe,Agranular insula,Iai,intermediate agranular insula area
427,F5_(6Va/6Vb),agranular frontal area F5 (or 6Va/6Vb) ,108.0,frontal,Sensorimotor Cortex,F4/F5,F5,agranular frontal area F5 (or 6Va/6Vb)
428,LIPd,"lateral intraparietal area, dorsal subdivision",14.0,parietal,Parietal Lobe,LIP,LIPd,"lateral intraparietal area, dorsal subdivision"
429,V2,visual area 2  ,2.0,occipital,Occipital Lobe,V2,V2,visual area 2
430,36r,"area 36 of the perirhinal cortex, rostral subregion",40.0,temporal,"Temporal Lobe
",PERIRHINAL,36,"area 36 of the perirhinal cortex, rostral subregion"
431,12l,ventro-lateral prefrontal area,136.0,prefrontal,Frontal Lobe,12,12l,ventro-lateral prefrontal area
432,5_(PEa),superior parietal lobule area (or PEa),26.0,parietal,Parietal Lobe,5,PEa,superior parietal lobule area (or 5)
433,TGsts,sts part of the temporal pole,61.0,temporal,"Temporal Lobe
",POLE,TGsts,sts part of the temporal pole
434,RTM,"medial rostrotemporal, belt region of the auditory cortex",68.0,auditory,"Temporal Lobe
",BELT,MB,"medial rostrotemporal, belt region of the auditory cortex"
435,3a/b,somatosensory areas 3a and 3b	,86.0,somatosensory,Sensorimotor Cortex,3a/b,3a/b,somatosensory areas 3a and 3b
