index,label,gyrus,lobe,,
158,A1/2/3tonIa_R,PoG,Parietal,SM,
159,A2_L,PoG,Parietal,SM,
160,A2_R,PoG,Parietal,SM,
161,A1/2/3tru_L,PoG,Parietal,SM,
162,A1/2/3tru_R,PoG,Parietal,SM,
163,G_L,INS,Insular,,
164,G_R,INS,Insular,,
165,vIa_L,INS,Insular,,
166,vIa_R,INS,Insular,,
167,dIa_L,INS,Insular,,
168,dIa_R,INS,Insular,,
169,vId/vIg_L,INS,Insular,,
170,vId/vIg_R,INS,Insular,,
171,dIg_L,INS,Insular,,
172,dIg_R,INS,Insular,,
173,dId_L,INS,Insular,,
174,dId_R,INS,Insular,,
175,A23d_L,CG,Limbic,,
176,A23d_R,CG,Limbic,,
177,A24rv_L,CG,Limbic,,
178,A24rv_R,CG,Limbic,,
179,A32p_L,CG,Limbic,,
180,A32p_R,CG,Limbic,,
181,A23v_L,CG,Limbic,,
182,A23v_R,CG,Limbic,,
183,A24cd_L,CG,Limbic,,
184,A24cd_R,CG,Limbic,,
185,A23c_L,CG,Limbic,,
186,A23c_R,CG,Limbic,,
187,A32sg_L,CG,Limbic,,
188,A32sg_R,CG,Limbic,,
189,cLinG_L,MVOcC,Occipital,,
190,cLinG_R,MVOcC,Occipital,,
191,rCunG_L,MVOcC,Occipital,,
192,rCunG_R,MVOcC,Occipital,,
193,cCunG_L,MVOcC,Occipital,,
194,cCunG_R,MVOcC,Occipital,,
195,rLinG_L,MVOcC,Occipital,,
196,rLinG_R,MVOcC,Occipital,,
197,vmPOS_L,MVOcC,Occipital,,
198,vmPOS_R,MVOcC,Occipital,,
199,mOccG_L,LOcC,Occipital,,
200,mOccG_R,LOcC,Occipital,,
201,V5/MT+_L,LOcC,Occipital,,
202,V5/MT+_R,LOcC,Occipital,,
203,OPC_L,LOcC,Occipital,,
204,OPC_R,LOcC,Occipital,,
205,iOccG_L,LOcC,Occipital,,
206,iOccG_R,LOcC,Occipital,,
207,msOccG_L,LOcC,Occipital,,
208,msOccG_R,LOcC,Occipital,,
209,lsOccG_L,LOcC,Occipital,,
210,lsOccG_R,LOcC,Occipital,,
